Player,Total Kills,Rounds Won,Total Rounds,Maps Played,ADR,Rating,Impact,KAST,AWP%,IGL,AWP,Rank,Win,Loss,KPR,wKAA,wKAAFactor,wAAA,wAAAFactor,kAWP,kAWPFactor,iAWP,iAWPFactor,iADRFactor,WL,WLFactor,RAR
stavn,377,297,513,25,84.5,1.23,1.31,0.756,0.0265,0,0,8,17,8,0.735,0.07411504424778759,0.6167983395822172,11.838053097345124,1.4119750316656101,0.0,0.0,0.0,0.0,0.43317228110095424,-0.15451118963486454,-0.16880347467608953,4.293142177672692
jabbi,386,297,513,25,73.6,1.16,1.14,0.758,0.0052,0,0,8,17,8,0.752,0.0911150442477876,0.7582753079807176,0.9380530973451187,0.1118855897111105,0.0,0.0,0.0,0.0,0.011269570258914736,-0.15451118963486454,-0.16880347467608953,2.7126269932746534
staehr,332,297,513,25,74.6,1.11,1.17,0.741,0.009,0,0,8,17,8,0.647,-0.01388495575221238,-0.11555302624531325,1.9380530973451187,0.23115985044088105,0.0,0.0,0.0,0.0,0.031689170165025024,-0.15451118963486454,-0.16880347467608953,1.9784925196845033
br0,392,297,513,25,68.5,1.04,0.97,0.75,0.0026,0,0,8,17,8,0.764,0.10311504424778761,0.8581414033208355,-4.161946902654876,-0.49641314001071857,0.0,0.0,-0.0,0.0,-0.05229044821566381,-0.15451118963486454,-0.16880347467608953,2.1406343404183636
tabseN,293,221,448,21,75.3,1.04,1.01,0.723,0.0068,1,0,24,11,10,0.654,-0.006884955752212374,-0.0572978039635778,2.6380530973451215,0.3146518329517208,0.0,0.0,-0.0,0.0,0.01788849251428394,-0.41717987548376234,-0.575708228167592,1.699534293334835
Krimbo,313,221,448,21,78.7,1.15,1.13,0.743,0.0192,0,0,24,11,10,0.699,0.038115044247787555,0.3172000535618635,6.038053097345127,0.7201843194329413,0.0,0.0,0.0,0.0,0.06381037788700547,-0.41717987548376234,-0.4557690139660104,2.6454257369158
JDC,318,221,448,21,78.5,1.11,1.19,0.728,0.0,0,0,24,11,10,0.71,0.049115044247787565,0.40874397429030496,5.838053097345124,0.6963294672869867,0.0,0.0,0.0,0.0,0.11233891325284286,-0.41717987548376234,-0.4557690139660104,2.761643340864124
syrsoN,276,221,448,21,63.5,0.95,0.88,0.679,0.5652,0,1,24,11,10,0.616,-0.04488495575221241,-0.3735404392072845,-9.161946902654876,-1.0927844436595713,-0.020932407079646023,0.023477825663716798,-0.09998538053097346,0.05837629547256634,-0.23432299306789844,-0.41717987548376234,-0.4557690139660104,-0.12151842009191505
prosus,261,221,448,21,65.9,0.93,0.98,0.71,0.0,0,0,24,11,10,0.583,-0.07788495575221244,-0.6481722013926088,-6.76194690265487,-0.8065262179081213,-0.0,0.0,-0.0,0.0,-0.07518061500264497,-0.41717987548376234,-0.4557690139660104,0.01435195173061432
gla1ve,213,198,412,21,59.6,0.86,0.79,0.684,0.0,1,0,25,9,12,0.517,-0.14388495575221238,-1.1974357257632564,-13.061946902654874,-1.5579540605056763,-0.0,0.0,-0.0,0.0,-0.5040267574668941,-0.5124179707218577,-0.7071367995961636,-1.9665533433319906
Goofy,263,198,412,21,71.4,1.06,1.08,0.723,0.0,0,0,25,9,12,0.638,-0.022884955752212388,-0.19045259775040171,-1.26194690265487,-0.15051778389438333,0.0,0.0,0.0,0.0,-0.004214013579665771,-0.5124179707218577,-0.5598166330136295,1.0949989717619197
Kylar,273,198,412,21,70.7,1.05,1.15,0.699,0.0037,0,0,25,9,12,0.663,0.002115044247787634,0.01760176754151064,-1.9619469026548728,-0.23400976640522306,-0.0,0.0,0.0,0.0,-0.02640689453025416,-0.5124179707218577,-0.5598166330136295,1.197368473592404
hades,331,198,412,21,81.4,1.26,1.27,0.75,0.4592,0,1,25,9,12,0.803,0.14211504424778765,1.182706213176219,8.73805309734513,1.042224823403322,0.015596545132743339,0.20064324389380517,0.09785430088495575,0.6848752146123893,0.26920647624083666,-0.5124179707218577,-0.5598166330136295,4.418552850525332
